date,permno_a,permno_b,action,side,w_prev,w_new
2017-12-29,14239,14487,enter,-1,0.0,0.0009578792123271176
2017-12-29,78405,80866,enter,-1,0.0,0.0008969856067149796
2017-12-29,15838,49015,enter,-1,0.0,0.0008352593692404135
2017-12-29,13407,16093,enter,-1,0.0,0.0008737757587421659
2017-12-29,15007,92956,enter,-1,0.0,0.005171600218280053
2017-12-29,44601,48506,enter,1,0.0,0.001496751863977456
2017-12-29,15838,77528,enter,-1,0.0,0.0011460081633405323
2017-12-29,83208,92804,enter,-1,0.0,0.0015615173489298717
2017-12-29,13189,14108,enter,-1,0.0,0.001849913689330558
2017-12-29,91338,92279,enter,-1,0.0,0.005193785133200093
2017-12-29,92110,93116,enter,-1,0.0,0.0028329174212251567
2017-12-29,13756,14941,enter,-1,0.0,0.001109065283266448
2017-12-29,15267,90839,enter,-1,0.0,0.007290552553379434
2017-12-29,85789,86382,enter,1,0.0,0.0051412583918826445
2017-12-29,24205,90925,enter,-1,0.0,0.006161956026272604
2017-12-29,15041,90050,enter,1,0.0,0.000685128483287437
2017-12-29,70826,75837,enter,1,0.0,0.0014266775881313736
2017-12-29,48506,91877,enter,1,0.0,0.0013696685123847367
2017-12-29,84389,87501,enter,1,0.0,0.003204629365619768
2017-12-29,79678,89056,enter,-1,0.0,0.0004092679200523102
2017-12-29,14515,75346,enter,-1,0.0,0.0022472786517332196
2017-12-29,15674,83218,enter,-1,0.0,0.0008318161141068539
2017-12-29,89460,89490,enter,-1,0.0,0.0021588219650061375
2017-12-29,91872,92667,enter,-1,0.0,0.0016271849037511564
2017-12-29,13437,15573,enter,-1,0.0,0.004091201135947325
2017-12-29,24205,86996,enter,-1,0.0,0.0027839544988359365
2017-12-29,92110,92916,enter,-1,0.0,0.0019449461114709127
2017-12-29,12376,13034,enter,1,0.0,0.003557271951443726
2017-12-29,14401,24985,enter,-1,0.0,0.001973625992541871
2017-12-29,89792,92402,enter,-1,0.0,0.0005978721941491687
2018-01-02,14239,14487,stop,-1,0.0009578792123271176,0.00049789337567137
2018-01-02,78405,80866,stop,-1,0.0008969856067149796,0.0004662416575164565
2018-01-02,15838,49015,stop,-1,0.0008352593692404135,0.00043415714795805413
2018-01-02,13407,16093,stop,-1,0.0008737757587421659,0.0004541774750941981
