permno_a,permno_b,beta,adf_p,adf_pass_rate,half_life,spread_vol,beta_start,beta_end,beta_nobs,beta_r2,beta_std
16166,91648,0.8823573308604967,5.379697154290052e-15,0.6666666666666666,2.1947609110119704,0.00855974581360899,2016-01-01,2017-12-31,369,0.9759548653505976,0.12632732105082944
78405,80866,1.193104462796852,3.2261883827986176e-10,1.0,4.83078225247258,0.014050912640415063,2016-01-01,2017-12-31,503,0.9447941186839435,0.24770626456428055
14515,75346,0.9342457125472398,8.077372710583844e-09,0.6666666666666666,3.708181419926259,0.00863036217196511,2016-01-01,2017-12-31,503,0.9563412605891062,0.21721640993347097
79561,93221,0.8610268668572031,8.639075877676935e-09,0.6666666666666666,5.190915528879051,0.010425636034191518,2016-01-01,2017-12-31,503,0.9380968988311899,0.2565357700967931
16170,89109,0.8483456087177806,1.4018469301287951e-08,1.0,2.3417720035687424,0.016178477161171653,2016-01-01,2017-12-31,370,0.9474511703585566,0.25001328687467494
75346,89744,0.9419228370760029,1.2837418650726534e-08,1.0,7.4876051166869235,0.008818975148613104,2016-01-01,2017-12-31,503,0.8835378028106049,0.29997363235771524
12366,87114,0.6009951872152663,2.0829045747703665e-08,1.0,8.296966366603776,0.01705352141561823,2016-01-01,2017-12-31,503,0.8601822835186506,0.28868422713292374
79561,92110,0.7196182943748123,2.304234293673044e-08,0.6666666666666666,4.687385367211768,0.010039731593370141,2016-01-01,2017-12-31,503,0.9452094234014472,0.208991856820978
90105,92171,1.4718765519110826,2.3795483805758644e-08,0.6666666666666666,6.204930228561936,0.01046290563179774,2016-01-01,2017-12-31,503,0.8918510742230565,0.234164044817441
90761,91510,0.7384347058493158,3.330453104695471e-08,0.6666666666666666,9.247185772878755,0.023185656994547117,2016-01-01,2017-12-31,503,0.8749621719178851,0.19009380252698857
90340,93415,1.1778222893878676,4.907125251376702e-08,0.6666666666666666,4.8767183927006466,0.01642157608473892,2016-01-01,2017-12-31,503,0.9395043058235093,0.25324045884699603
24205,90925,0.6349280707878608,4.3389705295057285e-08,0.6666666666666666,7.147372462230657,0.010206224730026319,2016-01-01,2017-12-31,503,0.9384153019273245,0.23012574867430352
15041,90050,1.1473801259174974,5.970325244826781e-08,0.6666666666666666,3.7660147647090856,0.01061082487120184,2016-01-01,2017-12-31,503,0.9631416113606301,0.24997878059309592
92110,93116,1.2248357402935923,7.464673954050772e-08,1.0,4.886508158991343,0.008544021933293247,2016-01-01,2017-12-31,503,0.9782627445588128,0.20168246411731344
70519,80169,0.6793407530604456,5.6487666120052404e-08,0.6666666666666666,6.734409157544531,0.01739994297163591,2016-01-01,2017-12-31,503,0.9509285202781932,0.18994245214550906
60687,92809,0.8182310439065669,8.267803920234675e-08,1.0,3.9441798343390704,0.013586073256538796,2016-01-01,2017-12-31,503,0.979876870753905,0.24564705106252824
87270,89460,1.0710758302168861,9.814322809241352e-08,1.0,3.952586167442838,0.011442279568618425,2016-01-01,2017-12-31,503,0.9206821924064886,0.24395227458895136
24205,86996,0.6000771712647077,9.291378583847119e-08,1.0,7.025307299869409,0.011019675105026553,2016-01-01,2017-12-31,503,0.9240427306912439,0.25724265978303995
28222,93098,0.6085753667907488,1.080780364760666e-07,0.6666666666666666,7.501854947411419,0.011258212862248181,2016-01-01,2017-12-31,503,0.9027718175471378,0.14282298227905463
13407,16093,1.4340728082333187,1.2861870025899858e-07,0.6666666666666666,3.763357358824694,0.012481228114180204,2016-01-01,2017-12-31,379,0.980497027002113,0.21715040280771047
89240,89298,0.8745834988478492,1.991881809370891e-07,1.0,3.793128792368482,0.008776463534131649,2016-01-01,2017-12-31,503,0.9255870147486099,0.2099720946810131
