gvkey,gsector,ggroup,gind,gsubind
001000,,,,
001001,25,2530,253010,25301040
001002,,,,
001003,25,2550,255040,25504040
001004,20,2010,201010,20101010
001005,,,,
001006,,,,
001007,25,2540,254010,25401030
001008,45,4520,452020,45202020
001009,15,1510,151040,15104020
001010,20,2030,203040,20304010
001011,25,2540,254010,25401020
001012,45,4520,452010,45201020
001013,45,4520,452010,45201020
001014,40,4040,404010,40401020
001015,45,4520,452030,45203010
001016,20,2010,201020,20102010
001017,20,2010,201010,20101010
001018,25,2520,252020,25202020
001019,20,2020,202010,20201080
001020,20,2010,201020,20102010
001021,35,3510,351010,35101010
001022,,,,
001023,25,2550,255010,25501010
001024,20,2030,203010,20301010
001025,25,2550,255010,25501010
001026,,,,
001027,,,,
001028,20,2020,202010,20201030
001029,,,,
001030,,,,
001031,,,,
001032,,,,
001033,20,2010,201060,20106020
001034,35,3520,352020,35202010
001035,,,,
001036,20,2010,201060,20106020
001037,45,4520,452010,45201020
001038,25,2540,254010,25401030
001039,,,,
001040,25,2520,252020,25202010
001041,,,,
001042,,,,
001043,20,2020,202010,20201010
001044,,,,
001045,20,2030,203020,20302010
001046,45,4510,451030,45103010
001047,20,2010,201030,20103010
001048,10,1010,101020,10102040
001049,25,2550,255010,25501010
001050,20,2020,202010,20201050
001051,,,,
001052,,,,
001053,,,,
001054,45,4510,451030,45103020
001055,45,4520,452020,45202010
001056,45,4520,452030,45203010
001057,,,,
001058,20,2010,201020,20102010
001059,,,,
001061,,,,
001062,40,4020,402030,40203010
001063,,,,
001064,25,2540,254010,25401020
001065,45,4520,452010,45201020
001066,20,2020,202010,20201060
001067,20,2020,202010,20201030
001068,25,2530,253010,25301030
001069,,,,
001070,,,,
001071,,,,
001072,45,4520,452030,45203015
001073,45,4510,451030,45103020
001074,,,,
001075,55,5510,551010,55101010
001076,40,4020,402020,40202010
001077,,,,
001078,35,3510,351010,35101010
001079,,,,
001080,,,,
001081,15,1510,151050,15105020
001082,20,2020,202010,20201050
001083,25,2550,255040,25504010
001084,50,5020,502030,50203010
001085,,,,
001086,20,2020,202010,20201050
001087,,,,
001088,25,2530,253010,25301040
001089,,,,
001090,45,4510,451020,45102010
001091,20,2020,202010,20201010
001092,,,,
001093,45,4520,452030,45203010
001094,35,3510,351020,35102010
001095,25,2540,254010,25401020
001096,60,6020,602010,60201020
001097,40,4030,403010,40301040
001098,45,4520,452010,45201020
001099,20,2010,201040,20104010
001100,,,,
001101,,,,
001102,,,,
001103,45,4520,452050,45205010
001104,20,2020,202010,20201060
001105,,,,
001106,20,2010,201020,20102010
001107,25,2550,255010,25501010
001108,25,2550,255010,25501010
001109,25,2520,252020,25202010
001110,,,,
001111,45,4510,451030,45103030
001112,25,2540,254010,25401010
001113,25,2540,254010,25401020
001114,,,,
001115,35,3510,351010,35101010
001116,20,2010,201020,20102010
001117,45,4520,452010,45201020
001118,,,,
001119,,,,
001120,25,2520,252030,25203010
001121,10,1010,101020,10102030
001122,25,2540,254010,25401020
001123,45,4520,452050,45205020
001124,25,2540,254010,25401040
001125,20,2020,202010,20201030
001126,45,4520,452040,45204010
001127,,,,
001128,20,2020,202010,20201040
001129,,,,
001130,45,4520,452020,45202020
001131,,,,
001132,,,,
001133,,,,
001134,,,,
001135,10,1010,101020,10102020
001136,,,,
