gvkey,iid,gvkeyx,from,thru
001166,01W,150378,2001-12-19,2003-09-19
001166,01W,150376,2001-09-24,2003-09-21
001166,01W,150262,2020-03-23,
001166,01W,150378,2014-09-22,
001166,01W,150928,2021-05-03,
001166,01W,150376,2012-09-24,
001166,02W,150378,2001-09-24,2001-12-18
001166,02W,150376,2001-09-24,2001-12-18
001356,90W,150061,2014-03-24,2016-10-18
001932,01W,150377,1995-12-31,1998-09-07
001932,01W,150377,2008-09-22,
001932,01W,150376,2000-01-01,
001932,01W,150944,2011-12-19,
001945,01W,150376,2000-01-01,2006-09-04
002000,01W,150034,1988-12-31,1999-04-16
002000,01W,151232,1988-12-31,1999-04-16
002338,01W,150376,2000-01-01,2016-06-24
002410,01W,150377,1995-12-31,
002410,01W,150376,2000-01-01,
002411,01W,150377,1995-12-31,2008-09-19
002411,01W,150376,2000-01-01,
002411,01W,150377,2014-09-22,
002597,01W,150376,2000-01-01,2010-02-18
002721,01W,150069,1985-12-31,
002721,01W,150192,1992-09-30,
002721,01W,150194,1985-12-31,2025-04-08
004245,01W,150378,2000-12-31,2001-12-18
004245,01W,150376,2000-01-01,2001-12-18
004245,02W,150378,2001-12-19,2013-12-17
004245,02W,150376,2001-12-19,2013-12-17
004367,01W,150280,2010-06-30,2014-06-19
004439,06W,150377,1995-12-31,2002-09-20
004439,06W,150377,2004-09-20,2014-09-19
004439,06W,150376,2000-01-01,
004439,06W,151227,1991-09-30,
004925,01W,150069,1985-12-31,
004925,01W,150192,1992-09-30,
004925,01W,150194,1985-12-31,2008-10-30
004925,01W,150194,2009-10-30,2025-04-08
005150,01W,150152,1990-12-31,1994-12-16
005150,01W,150376,2000-01-01,2000-03-17
005180,02W,150377,1995-12-31,
005180,02W,150376,2000-01-01,
005302,01W,150061,2007-12-31,2010-03-19
005650,01W,150069,1985-12-31,
005650,01W,150192,1992-09-30,
005650,01W,150194,1985-12-31,2025-04-08
005691,01W,150069,1985-12-31,
005691,01W,150192,1992-09-30,
005691,01W,150194,1985-12-31,2025-04-08
005894,01W,150376,2000-01-01,2007-12-19
005988,01W,160134,1988-04-29,1990-01-31
005988,01W,160134,1990-08-01,1991-07-31
005988,01W,160134,1992-08-01,1994-07-19
005988,03W,160134,1993-08-02,1995-07-31
005988,03W,160134,2002-09-02,2003-01-31
005988,03W,150378,2001-12-24,2003-10-08
005988,03W,150376,2001-12-24,2003-10-08
005988,03W,150022,2001-01-15,2004-01-23
006084,01W,150061,1988-12-31,1990-06-22
006197,01W,150069,2000-04-24,2005-08-25
006197,01W,150192,1992-09-30,2005-08-25
006197,01W,150194,1985-12-31,2005-08-25
006305,01W,150262,1994-02-01,2001-07-04
006305,01W,150376,2000-01-01,2000-03-17
006494,01W,150069,1985-12-31,
006494,01W,150192,1992-09-30,
006494,01W,150194,1985-12-31,2025-04-08
006506,01W,150069,1985-12-31,
006506,01W,150192,1992-09-30,
006506,01W,150194,1985-12-31,2025-04-08
006512,01W,150069,2000-04-24,
006512,01W,150192,1992-09-30,
006512,01W,150194,1985-12-31,2025-04-08
006775,01W,150069,1996-09-24,2001-03-26
006775,01W,150192,1992-09-30,2001-03-26
006775,01W,150194,1985-12-31,2001-03-26
006972,01W,150194,1985-12-31,2025-04-08
007114,01W,150069,1985-12-31,
007114,01W,150192,1992-09-30,
007114,01W,150194,1985-12-31,2025-04-08
007471,01W,150069,1985-12-31,
007471,01W,150192,1992-09-30,
007471,01W,150194,1985-12-31,2025-04-08
007652,01W,150069,1985-12-31,
007652,01W,150192,1992-09-30,
007652,01W,150194,1985-12-31,2025-04-08
007881,94W,150061,2023-11-08,
007908,01W,150069,1987-04-04,
007908,01W,150192,1992-09-30,
007908,01W,150194,1987-02-09,2025-04-08
008020,02W,150376,2000-01-01,
008020,02W,150340,1989-10-31,
008071,02W,150262,1997-02-28,2001-07-04
008071,02W,150378,2000-12-31,2006-10-08
008071,02W,150376,2000-09-18,2006-10-08
008071,02W,150376,2000-01-01,2000-03-17
008546,01W,150262,1994-02-01,
008546,01W,150940,2000-12-31,2022-09-18
008546,01W,150377,1995-12-31,2009-09-18
008546,01W,150378,2000-12-31,
008546,01W,150928,2006-10-27,
008546,01W,150376,2000-01-01,
008594,01W,150069,1990-11-26,2019-03-14
008594,01W,150192,1992-09-30,2010-09-30
008594,01W,150194,1985-12-31,2019-03-14
009098,01W,150377,1995-12-31,1998-09-18
009098,01W,150376,2000-01-01,2009-09-09
009135,01W,150069,1985-12-31,
009135,01W,150192,1992-09-30,
009135,01W,150194,1985-12-31,2025-04-08
009267,01W,150262,1994-02-01,2005-07-19
009267,01W,150940,2000-12-31,2005-07-18
009267,01W,150377,1995-12-31,2005-07-18
009267,01W,150378,2000-12-31,2005-07-18
009267,01W,150376,2000-01-01,2005-07-18
009267,04W,150940,2005-07-19,2005-07-19
009267,04W,150377,2005-07-19,2005-07-19
009267,04W,150378,2005-07-19,2005-07-19
009267,04W,150376,2005-07-19,2005-07-19
009343,01W,150376,2000-09-18,2001-12-23
009655,01W,150377,1999-09-20,2005-07-19
009655,01W,150376,2000-01-01,2005-07-19
009818,01W,150069,1985-12-31,
009818,01W,150192,1992-09-30,
009818,01W,150194,1985-12-31,2025-04-08
010137,01W,150069,1985-12-31,2002-11-25
