permno,dlstdt,dlret,dlstcd
10001,2017-08-03,0.0,233
10025,2017-01-20,0.002556,241
10051,2022-10-03,0.516377,233
10116,2017-02-22,-0.032258,551
10147,2016-09-06,0.012051,241
10180,2020-05-29,-0.166667,574
10182,2020-06-29,0.00069,233
10201,2021-05-14,0.003311,233
10232,2022-05-13,0.000867,233
10239,2021-05-28,0.0,233
10259,2018-08-24,-0.087049,570
10297,2017-01-13,-0.006,231
10299,2017-03-10,0.003209,241
10302,2020-04-15,0.001259,233
10353,2016-03-31,-0.031926,570
10363,2020-11-13,0.0,233
10375,2019-07-31,-0.021349,231
10395,2019-05-22,0.000572,233
10514,2023-06-09,-0.235353,584
10530,2023-01-30,0.000883,233
10656,2019-04-02,-0.182156,574
10661,2024-02-16,-0.406818,584
10667,2016-06-01,0.013121,231
10781,2023-09-14,-0.1325,570
10838,2019-06-03,0.387097,552
10853,2016-01-29,0.008545,231
10909,2022-06-07,0.000843,233
10913,2018-08-20,0.028911,241
10952,2022-08-22,0.0,233
11003,2018-08-10,-0.032075,231
11182,2020-03-27,0.0,450
11203,2023-11-15,0.000333,233
11246,2017-11-10,0.062406,560
11343,2022-07-21,-0.004902,233
11348,2021-11-12,-8.7e-05,233
11361,2020-07-30,-0.137931,552
11363,2019-06-14,0.003734,450
11378,2018-03-08,0.0,233
11394,2024-06-14,0.031593,584
11441,2021-02-25,-3.1e-05,233
11481,2023-12-27,-0.267241,584
11552,2019-11-20,0.007945,244
11638,2019-07-01,-0.0002,233
11641,2017-04-20,0.001164,233
11648,2017-10-06,0.000899,450
11703,2017-08-31,0.02615,231
11707,2019-12-03,0.000167,233
11750,2017-12-14,0.03067,231
11786,2023-03-10,,584
11825,2022-11-03,0.0,233
11896,2021-08-25,0.022269,231
11992,2021-06-08,-0.003719,231
12007,2018-10-08,-0.874548,574
12011,2016-03-22,0.0,233
12018,2018-05-11,0.048387,570
12023,2019-07-09,,580
12026,2016-08-22,0.000328,233
12027,2016-09-14,0.002227,233
12030,2016-01-13,0.6,552
12047,2019-06-14,0.005303,450
12051,2017-01-19,-0.000769,233
12057,2016-02-26,0.059603,520
12072,2016-10-05,-0.0149,231
12073,2022-04-01,0.006556,231
12080,2017-03-21,-0.003322,574
12088,2017-11-30,-0.009557,231
12089,2021-04-21,0.000338,233
12093,2021-12-27,0.003483,233
12097,2016-04-20,0.001934,233
12103,2024-07-19,0.039711,231
12149,2018-08-13,0.0,233
12166,2023-08-22,0.100324,584
12173,2018-03-08,0.075797,342
12190,2018-02-09,-0.245,573
12248,2016-11-01,-0.001199,233
12288,2016-12-23,0.000827,450
12293,2022-05-17,-0.25,580
12306,2016-09-22,0.007252,450
12307,2023-08-18,0.64,584
12309,2016-11-03,0.11711,231
12310,2024-04-18,-0.834254,584
12312,2016-07-28,0.000282,233
12322,2017-05-12,0.002921,450
12323,2016-03-02,0.002571,233
12324,2016-06-22,0.008197,233
12330,2016-07-27,-0.000285,233
12334,2023-09-20,0.007729,450
12340,2019-09-27,0.0,233
12347,2016-11-29,0.05163,231
12348,2018-05-23,0.0,233
12352,2019-05-17,,580
12356,2019-06-11,0.001781,233
12357,2016-04-14,0.025641,233
12362,2021-05-28,0.0,233
12365,2020-11-04,0.003764,233
12371,2021-10-29,0.010819,331
12374,2021-04-20,0.023371,241
12376,2023-11-10,0.021829,241
12379,2018-11-16,0.004141,231
12384,2019-12-04,0.014581,241
12389,2017-03-24,-0.66791,574
12390,2016-06-03,0.001838,233
12392,2016-06-23,0.000504,233
12402,2020-02-28,0.051146,241
12405,2018-12-04,0.002227,233
12410,2016-04-27,-0.000351,233
12413,2022-03-04,,261
12437,2023-02-28,,261
12438,2018-06-22,-0.001348,231
12444,2016-09-20,0.010558,233
12445,2016-03-02,0.058105,450
12446,2017-12-28,-0.119497,584
12448,2023-04-28,-0.904843,584
12451,2020-07-30,-0.006623,233
12463,2022-05-02,3.9e-05,450
12465,2018-04-06,0.00681,231
12469,2018-04-06,0.006079,231
12470,2018-04-06,-0.000611,231
12471,2016-01-26,-0.00627,331
12478,2016-04-05,0.000363,233
12481,2016-04-08,0.005136,233
12486,2019-08-23,-0.125,570
12489,2016-11-16,0.004673,233
12492,2021-09-09,0.009921,233
12493,2021-11-04,-0.001483,233
12494,2021-04-30,0.018594,231
12496,2017-09-11,-0.196078,574
12498,2018-11-15,0.010859,241
12501,2017-07-03,0.008727,231
12502,2023-07-31,-0.001479,570
12503,2021-06-30,0.0,233
12509,2017-10-16,-0.006729,241
12521,2021-06-11,0.001178,233
12541,2020-03-12,0.308595,231
12542,2022-10-11,0.000715,233
12543,2024-07-19,0.000315,231
12553,2017-10-06,0.003032,450
12556,2022-09-13,-0.41145,560
12557,2017-02-02,0.033333,584
12559,2022-08-02,-0.000625,233
12560,2020-05-04,0.013077,450
12561,2017-09-06,0.00579,450
12575,2018-12-20,0.000417,233
12582,2022-06-30,0.0004,233
12584,2022-03-31,0.001478,231
12585,2016-01-14,0.0,584
12587,2020-11-10,0.025684,233
12588,2021-08-25,0.000135,233
12594,2019-10-11,0.00055,450
12595,2020-03-27,-0.000308,450
12596,2020-09-25,0.000194,450
12624,2020-08-05,-0.000778,450
12632,2016-08-25,0.002262,450
12636,2016-07-15,0.00039,233
12637,2016-03-22,-0.781022,574
12638,2019-03-14,0.002286,450
12639,2021-10-14,0.000174,233
12640,2022-07-20,0.0,233
12645,2019-04-16,0.000101,233
12650,2021-12-13,0.021681,241
12653,2020-10-30,0.023696,231
12660,2020-06-29,-0.336364,574
12665,2022-03-04,,470
12667,2020-02-03,,242
12668,2022-06-23,0.0,233
12671,2017-09-06,-0.002682,450
12674,2016-08-25,-0.002206,450
12679,2019-11-18,-0.118311,552
12683,2019-07-29,0.036565,231
12689,2021-04-15,0.0,233
12695,2016-08-29,-0.00046,233
12696,2018-12-31,-0.008043,231
12697,2023-10-25,0.123404,584
12698,2017-12-08,,261
12720,2018-06-13,-0.42029,552
12727,2020-03-27,-0.000427,450
12728,2022-03-03,-0.043752,450
12729,2020-12-11,-0.005599,231
12732,2020-08-21,0.005683,450
12738,2018-03-16,0.002252,450
12739,2016-08-23,-0.002181,450
12740,2016-08-23,-0.002579,450
12742,2016-12-07,0.000204,233
12744,2021-10-15,-0.004225,450
12746,2018-12-20,,552
12748,2023-07-28,0.016394,231
12758,2022-04-29,0.000208,233
12759,2024-04-03,-0.333333,584
12785,2017-04-28,-0.003488,233
12789,2024-04-12,-0.516129,570
12791,2016-05-13,0.009346,233
12792,2020-08-03,-0.705263,574
12795,2018-06-18,0.001908,233
12797,2017-08-10,-0.323308,574
12798,2021-06-01,0.000715,233
12831,2018-03-29,0.002549,450
12832,2022-08-31,0.001121,450
12833,2019-03-22,0.003574,450
12834,2019-03-22,0.002934,450
12835,2017-11-08,0.0,233
12843,2018-05-31,0.005786,450
12844,2024-03-13,0.000951,450
12850,2016-07-15,-0.002904,450
12871,2024-04-01,0.024182,231
12873,2019-01-31,0.02759,231
12878,2016-06-22,0.018108,233
12881,2016-04-22,0.0,233
12884,2018-10-01,0.00501,231
12891,2019-12-20,0.016667,570
12892,2019-07-22,0.001908,233
12893,2016-08-31,0.007446,241
12894,2016-07-20,-0.116709,574
12901,2016-03-11,-0.000746,450
12906,2020-01-14,-0.04805,231
12908,2020-01-08,0.000906,233
12911,2017-08-16,0.003215,450
12914,2020-12-14,0.000188,233
12915,2020-12-14,-0.612613,574
12916,2018-06-29,0.011662,241
