month,permno,in_sp500_proxy
2016-01,14593,1
2016-01,10107,1
2016-01,11850,1
2016-01,22111,1
2016-01,84788,1
2016-01,13407,1
2016-01,14542,1
2016-01,38703,1
2016-01,90319,1
2016-01,18163,1
2016-01,47896,1
2016-01,55976,1
2016-01,65875,1
2016-01,11308,1
2016-01,12060,1
2016-01,21936,1
2016-01,66093,1
2016-01,14541,1
2016-01,83443,1
2016-01,66181,1
2016-01,17778,1
2016-01,26403,1
2016-01,10104,1
2016-01,59408,1
2016-01,59328,1
2016-01,13856,1
2016-01,92611,1
2016-01,92602,1
2016-01,89525,1
2016-01,22752,1
2016-01,70519,1
2016-01,76076,1
2016-01,13901,1
2016-01,77274,1
2016-01,12490,1
2016-01,14008,1
2016-01,43449,1
2016-01,92655,1
2016-01,17005,1
2016-01,19393,1
2016-01,91233,1
2016-01,15408,1
2016-01,77702,1
2016-01,13721,1
2016-01,50876,1
2016-01,19502,1
2016-01,57665,1
2016-01,19561,1
2016-01,11552,1
2016-01,22592,1
2016-01,10145,1
2016-01,86946,1
2016-01,66157,1
2016-01,66800,1
2016-01,86868,1
2016-01,89006,1
2016-01,77178,1
2016-01,87055,1
2016-01,61399,1
2016-01,87447,1
2016-01,21178,1
2016-01,48725,1
2016-01,18729,1
2016-01,20482,1
2016-01,77418,1
2016-01,76841,1
2016-01,15579,1
2016-01,86783,1
2016-01,62092,1
2016-01,34833,1
2016-01,87267,1
2016-01,59176,1
2016-01,27959,1
2016-01,91883,1
2016-01,24205,1
2016-01,69032,1
2016-01,20626,1
2016-01,13928,1
2016-01,10147,1
2016-01,77668,1
2016-01,40539,1
2016-01,25785,1
2016-01,17750,1
2016-01,11703,1
2016-01,12369,1
2016-01,90215,1
2016-01,49154,1
2016-01,87842,1
2016-01,18411,1
2016-01,75510,1
2016-01,15488,1
2016-01,60442,1
2016-01,76614,1
2016-01,64936,1
2016-01,17830,1
2016-01,13356,1
2016-01,12052,1
2016-01,49680,1
2016-01,88668,1
2016-01,89393,1
2016-01,49656,1
2016-01,75825,1
2016-01,24942,1
2016-01,86158,1
2016-01,44644,1
2016-01,16678,1
2016-01,73139,1
2016-01,81061,1
2016-01,12558,1
2016-01,60628,1
2016-01,18542,1
2016-01,90505,1
2016-01,88845,1
2016-01,91926,1
2016-01,81055,1
2016-01,64186,1
2016-01,89179,1
2016-01,75186,1
2016-01,24766,1
2016-01,17144,1
2016-01,83111,1
2016-01,91937,1
2016-01,56573,1
2016-01,85269,1
2016-01,63830,1
2016-01,70578,1
2016-01,59459,1
2016-01,89258,1
2016-01,90993,1
2016-01,85963,1
2016-01,90441,1
2016-01,89626,1
2016-01,39642,1
2016-01,22103,1
2016-01,24109,1
2016-01,59192,1
2016-01,77768,1
2016-01,83435,1
2016-01,45751,1
2016-01,12622,1
2016-01,86356,1
2016-01,88031,1
2016-01,23819,1
2016-01,15401,1
2016-01,13688,1
2016-01,69796,1
2016-01,21371,1
2016-01,22509,1
2016-01,79678,1
2016-01,79103,1
2016-01,71563,1
2016-01,93436,1
2016-01,43553,1
2016-01,28222,1
2016-01,57904,1
2016-01,78975,1
2016-01,26825,1
2016-01,58683,1
2016-01,21020,1
2016-01,19350,1
2016-01,48653,1
2016-01,36468,1
2016-01,14776,1
2016-01,11955,1
2016-01,77605,1
2016-01,22517,1
2016-01,86136,1
2016-01,79323,1
2016-01,42534,1
2016-01,76605,1
2016-01,17478,1
2016-01,12742,1
2016-01,91556,1
2016-01,88446,1
2016-01,72726,1
2016-01,52038,1
2016-01,76744,1
2016-01,12872,1
2016-01,62148,1
2016-01,22293,1
2016-01,93096,1
2016-01,85348,1
2016-01,90442,1
2016-01,64282,1
2016-01,13788,1
2016-01,10696,1
2016-01,32870,1
2016-01,10516,1
2016-01,64311,1
2016-01,23712,1
2016-01,37584,1
2016-01,76226,1
2016-01,82800,1
2016-01,11404,1
2016-01,88352,1
2016-01,15720,1
2016-01,27887,1
2016-01,75241,1
2016-01,75828,1
2016-01,14702,1
2016-01,70332,1
2016-01,89070,1
2016-01,10909,1
2016-01,92121,1
2016-01,23931,1
2016-01,89003,1
2016-01,12308,1
2016-01,21776,1
2016-01,81481,1
2016-01,82642,1
2016-01,75034,1
2016-01,80924,1
2016-01,68144,1
2016-01,81540,1
2016-01,91650,1
2016-01,64390,1
2016-01,91103,1
2016-01,10138,1
